Insurance_Plan,Basis,Actual,Expected,AE
UL,QX7580E,57058510287.0,98056562359.99681,0.5818938469158247
VL,QX7580E,13178949122.0,27758762694.487873,0.4747671669320109
Perm,QX7580E,84799296392.0,154917254663.3217,0.5473844509850918
Term,QX7580E,78797530934.0,252205821017.7701,0.3124334347875659
VLSG,QX7580E,5040814763.0,11696038074.404696,0.43098481134660355
Other,QX7580E,301733854.0,748125981.7596339,0.4033195763236363
ULSG,QX7580E,34991664706.0,67566221632.30181,0.5178869538750605
Term,QX2001VBT,78797530934.0,165435567335.8289,0.4763034467312796
VLSG,QX2001VBT,5040814763.0,8540010964.813704,0.5902585820754813
Other,QX2001VBT,301733854.0,539915571.7927892,0.5588537722631206
ULSG,QX2001VBT,34991664706.0,56141747215.2847,0.6232735253468109
Perm,QX2001VBT,84799296392.0,124377476247.60884,0.6817898139626407
UL,QX2001VBT,57058510287.0,79907696407.77412,0.7140552518974737
VL,QX2001VBT,13178949122.0,20960987595.43615,0.6287370316878323
Term,QX2008VBT,78797530934.0,109476478488.01923,0.719766766544499
VLSG,QX2008VBT,5040814763.0,6023880564.094388,0.8368052303437097
UL,QX2008VBT,57058510287.0,64971055875.47059,0.8782142989389539
VL,QX2008VBT,13178949122.0,15022855913.816748,0.8772599030174496
Other,QX2008VBT,301733854.0,407892857.4124235,0.7397380182485389
Perm,QX2008VBT,84799296392.0,99070551543.04654,0.8559485646464214
ULSG,QX2008VBT,34991664706.0,47712238532.0566,0.7333897084390626
UL,QX2008VBTLU,57058510287.0,79265697121.90178,0.7198386232477132
VL,QX2008VBTLU,13178949122.0,20415570929.175526,0.6455341938621075
Term,QX2008VBTLU,78797530934.0,183024053362.1145,0.430531012107455
VLSG,QX2008VBTLU,5040814763.0,8835230141.626188,0.5705357621926305
Perm,QX2008VBTLU,84799296392.0,119969832887.01198,0.7068384972400877
Other,QX2008VBTLU,301733854.0,610143274.7795434,0.4945295088420376
ULSG,QX2008VBTLU,34991664706.0,61300751196.43609,0.5708195091096102
ULSG,QX2015VBT,34991664706.0,40973079651.41213,0.8540159783862871
VL,QX2015VBT,13178949122.0,13087017268.94571,1.007024660483366
UL,QX2015VBT,57058510287.0,56290104789.628494,1.0136508095027226
Other,QX2015VBT,301733854.0,347420975.5439531,0.8684963638927635
Perm,QX2015VBT,84799296392.0,87027913672.80867,0.9743919256850462
VLSG,QX2015VBT,5040814763.0,5174064120.985919,0.9742466743994412
Term,QX2015VBT,78797530934.0,91588558009.24669,0.8603425214538772